0x803d64,Name,Description,ID,Support Class,Portrait,Map Portrait,B9,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A,N/A,N/A,N/A,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A,N/A,N/A
Scollan,ScollanName,ScollanDescription,93,Brigand,ScollanMug,0x0,0x0,0x0,2,8,4,3,2,2,0,2,0,0,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Morgan,MorganName,MorganDescription,94,General,MorganMug,0x0,0x0,0x0,5,17,7,6,8,4,7,10,-1,0,ARank,ARank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Ein,EinName,EinDescription,95,FireManakete,EinMug,0x0,0x0,0x0,8,12,7,1,1,2,4,7,0,0,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Guerrero,GuerreroName,GuerreroDescription,96,Berserker,GuerreroMug,0x0,0x0,0x0,2,21,9,4,7,5,3,6,0,0,0,SRank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Flaer,FlaerName,FlaerDescription,97,WyvernLord,FlaerMug,0x0,0x0,0x0,8,19,9,6,5,6,5,9,0,0,ARank,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Randy,RandyName,RandyDescription,98,Hero,RandyMug,0x0,0x0,0x0,10,18,9,11,6,3,3,8,2,ARank,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Maggie,MaggieName,MaggieDescription,99,Berserker,MaggieMug,0x0,0x0,0x0,5,14,7,5,3,2,1,4,1,0,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Rose,RoseName,RoseDescription,100,Berserker,RoseMug,0x0,0x0,0x0,6,15,6,4,2,3,0,7,1,0,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Oates,OatesName,OatesDescription,101,Sage,OatesMug,0x0,0x0,0x0,10,15,12,12,11,5,9,7,0,0,0,0,0,ARank,SRank,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Raith,RaithName,RaithDescription,102,Paladin,RaithMug,0x0,0x0,0x0,8,17,9,4,1,5,6,10,0,0,ARank,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Narcian,NarcianName,NarcianDescription,103,WyvernLord,NarcianMug,0x0,0x0,0x0,10,21,7,8,9,10,11,13,0,ARank,ARank,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Windham,WindhamName,WindhamDescription,104,Bishop,WindhamMug,0x0,0x0,0x0,12,20,16,8,8,10,0,15,2,0,0,0,0,ARank,0,SRank,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Arcardo,ArcardoName,ArcardoDescription,105,Paladin,ArcardoMug,0x0,0x0,0x0,10,25,13,10,6,8,7,13,0,0,ARank,ARank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Martel,MartelName,MartelDescription,106,Bishop,MartelMug,0x0,0x0,0x0,10,24,15,7,7,9,9,12,1,0,0,0,0,ARank,0,ARank,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Sigune,SiguneName,SiguneDescription,107,Falcoknight,SiguneMug,0x0,0x0,0x0,8,24,10,9,11,7,10,14,1,0,ARank,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss|IsFemale,0x0,0x0,0x0,0x0,0x0
Roartz,RoartzName,RoartzDescription,108,General,RoartzMug,0x0,0x0,0x0,10,29,13,9,9,7,8,13,1,0,ARank,ARank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Tick,TickName,TickDescription,109,General,TickMug,0x0,0x0,0x0,2,26,12,10,9,4,12,10,0,ARank,SRank,ARank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Monke,MonkeName,MonkeDescription,110,NomadTrooper,MonkeMug,0x0,0x0,0x0,10,21,8,10,13,7,10,12,0,BRank,0,0,BRank,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Kel,KelName,KelDescription,111,Swordmaster,KelMug,0x0,0x0,0x0,10,21,11,12,13,6,12,11,0,BRank,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Thoril,ThorilName,SacaeGaidenBossesDescription,112,NomadTrooper,SacaeGaidenBossesMug,0x0,0x0,0x0,2,23,6,11,14,6,7,14,0,ARank,0,0,ARank,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Brakul,BrakulName,SacaeGaidenBossesDescription,113,Druid,SacaeGaidenBossesMug,0x0,0x0,0x0,2,23,6,11,14,6,7,14,0,0,0,0,0,ARank,0,0,ARank,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Kudoka,KudokaName,SacaeGaidenBossesDescription,114,NomadTrooper,SacaeGaidenBossesMug,0x0,0x0,0x0,2,23,6,11,14,6,7,14,0,ARank,0,0,ARank,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Marral,MarralName,SacaeGaidenBossesDescription,115,Druid,SacaeGaidenBossesMug,0x0,0x0,0x0,2,23,6,11,14,6,7,14,0,0,0,0,0,ARank,0,0,ARank,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Kabul,KabulName,SacaeGaidenBossesDescription,116,NomadTrooper,SacaeGaidenBossesMug,0x0,0x0,0x0,2,23,6,11,14,6,7,14,0,ARank,0,0,ARank,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Chan,ChanName,SacaeGaidenBossesDescription,117,Druid,SacaeGaidenBossesMug,0x0,0x0,0x0,2,23,6,11,14,6,7,14,0,0,0,0,0,ARank,0,0,ARank,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Murdock,MurdockName,MurdockDescription,118,General,MurdockMug,0x0,0x0,0x0,20,41,19,15,9,12,14,12,5,0,ARank,ARank,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Galle,GalleName,GalleDescription,119,WyvernLord,GalleMug,0x0,IceAffinity,0x0,10,24,13,10,6,12,13,11,1,ARank,ARank,0,0,0,0,0,0,40,20,20,15,30,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Peres,PeresName,PeresDescription,120,Druid,PeresMug,0x0,0x0,0x0,2,17,14,11,7,11,14,13,0,0,0,0,0,ARank,0,0,SRank,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
Zephiel,ZephielName,ZephielDescription,121,King,ZephielMug,0x0,0x0,0x0,20,35,10,15,9,7,14,15,0,SRank,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss|GiveNoExp,0x0,0x0,0x0,0x0,0x0
Brunnya,BrunnyaName,BrunnyaDescription,122,SageF,BrunnyaMug,0x0,0x0,0x0,20,19,19,12,13,15,19,17,1,0,0,0,0,ARank,ARank,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss|IsFemale,0x0,0x0,0x0,0x0,0x0
Jahn,JahnName,JahnDescription,123,FireManakete,JahnMug,0x0,0x0,0x0,20,60,15,10,10,14,15,14,2,0,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
IdunnHuman,IdunnName,IdunnHumanDescription,124,Shaman,IdunnHumanMug,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0
IdunnDragon,IdunnName,IdunnDragonDescription,125,DemonDragon,IdunnDragonMug,0x0,0x0,0x0,20,38,4,3,11,2,0,18,0,0,0,0,0,0,0,0,0,85,50,10,10,10,5,30,0x0,0x0,0x0,0x0,0x0,IsBoss|IsFemale|GiveNoExp,0x0,0x0,0x0,0x0,0x0
,0x0,0x0,126,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
,0x0,0x0,127,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
,0x0,0x0,128,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
,0x0,0x0,129,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
,0x0,0x0,130,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBanditCh1,GenericBanditName,GenericDescBrigandsOfLycia,131,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBernCh2,GenericBernName,GenericDescBernSoldiers,132,0x0,0x0,BernGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBernCh3,GenericBernName,GenericDescBernSoldiers,133,0x0,0x0,BernGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericLausCh4,GenericLausName,GenericDescLausSoldiers,134,0x0,0x0,LyciaGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericPirateCh4,GenericPirateName,GenericDescOutlawsRansack,135,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBanditCh5,GenericBanditName,GenericDescOutlawsMountains,136,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericThriaCh6,GenericThriaName,GenericDescThriaTraitors,137,0x0,0x0,LyciaGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBernCh7,GenericBernName,GenericDescBernSoldiers,138,0x0,0x0,BernGenericMinimug,0x0,0x0,0,2,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericRebelCh7,GenericRebelName,GenericDescRebelLegance,139,0x0,0x0,LyciaGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericRebelCommanderCh7,GenericRebelName,GenericDescRebelLegance,140,0x0,0x0,LyciaGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericRebelCh8,GenericRebelName,GenericDescRebelLegance,141,0x0,0x0,LyciaGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericThiefCh8,GenericThiefName,GenericDescThiefHunting,142,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBanditCh8x,GenericBanditName,GenericDescBrigandsCh8x,143,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBanditWestIslesCh9,GenericBanditName,GenericDescBanditsRoamingWest,144,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericPirateWestIslesCh9,GenericPirateName,GenericDescBanditsRoamingWest,145,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericArmaghCh10A,GenericArmaghName,GenericDescArmagh,146,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericPirateWestIslesCh10A,GenericPirateName,GenericDescBanditsRoamingWest,147,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericEburacumCh11A,GenericEburacumName,GenericDescEburacum,148,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBanditWestIslesCh11A,GenericBanditName,GenericDescBanditsRoamingWest,149,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericSoldierWestIslesCh10B,GenericSoldiersName,GenericDescSoldiersServingWest,150,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBanditWestIslesCh10B,GenericBanditName,GenericDescBanditsRoamingWest,151,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericEidynaCh11B,GenericEidynaName,GenericDescEidyna,152,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericEidynaAggroCh11B,GenericEidynaName,GenericDescEidyna,153,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBanditWestIslesCh11B,GenericBanditName,GenericDescBanditsRoamingWest,154,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericJuteauxCh12,GenericJuteauxName,GenericDescJuteauxCapital,155,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBernCh12,GenericBernName,GenericDescBernSoldiers,156,0x0,0x0,BernGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBanditCh12x,GenericBanditName,GenericDescOutlawsMountains,157,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericEtruriaCh13,GenericEtruriaName,GenericDescEtruriaSoldiers,158,0x0,0x0,EtruriaGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBernCh13,GenericBernName,GenericDescBernSoldiers,159,0x0,0x0,BernGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBernCh14,GenericBernName,GenericDescBernMercenaries,160,0x0,0x0,BernGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBanditCh14,GenericBanditName,GenericDescBrigandsDesert,161,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericManaketeCh14,GenericManaketeName,GenericDescManaketeWar,162,0x0,0x0,BernGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBernCh14x,GenericBernName,GenericDescBernSoldiers,163,0x0,0x0,BernGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericEtruriaCh15,GenericEtruriaName,GenericDescEtruriaSoldiers,164,0x0,0x0,EtruriaGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBernCh15,GenericBernName,GenericDescBernSoldiers,165,0x0,0x0,BernGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBanditCh15,GenericBanditName,GenericDescOutlawsMountains,166,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericEtruriaCh16,GenericEtruriaName,GenericDescEtruriaSoldiers,167,0x0,0x0,EtruriaGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBernCh16,GenericBernName,GenericDescBernSoldiers,168,0x0,0x0,BernGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericManaketeCh16,GenericManaketeName,GenericDescManaketeWar,169,0x0,0x0,BernGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericThiefCh16,GenericThiefName,GenericDescThiefHunting,170,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericEtruriaCh16x,GenericEtruriaName,GenericDescEtruriaSoldiers,171,0x0,0x0,EtruriaGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericEtruriaCh17A,GenericEtruriaName,GenericDescEtruriaSoldiers,172,0x0,0x0,EtruriaGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericIlliaCh18A,GenericIlliaName,GenericDescKnightsOfIllia,173,0x0,0x0,IlliaGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBernCh18A,GenericBernName,GenericDescBernSoldiers,174,0x0,0x0,BernGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBanditCh18A,GenericBanditName,GenericDescOutlawsMountains,175,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericIlliaCh19A,GenericIlliaName,GenericDescKnightsOfIllia,176,0x0,0x0,IlliaGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericIlliaMercenaryCh19A,GenericIlliaName,GenericDescMercKnightsOfIllia,177,0x0,0x0,IlliaGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBanditCh19A,GenericBanditName,GenericDescOutlawsMountains,178,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericIlliaCh20A,GenericIlliaName,GenericDescKnightsOfIllia,179,0x0,0x0,IlliaGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericEtruriaCh20A,GenericEtruriaName,GenericDescEtruriaSoldiers,180,0x0,0x0,EtruriaGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericThiefCh20A,GenericThiefName,GenericDescThiefHunting,181,0x0,0x0,BanditGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBernCh20Ax,GenericBernName,GenericDescBernSoldiers,182,0x0,0x0,BernGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericSacaeCh17B,GenericSacaeName,GenericDescNomadicWarriors,183,0x0,0x0,SacaeGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
GenericBernCh17B,GenericBernName,GenericDescBernSoldiers,184,0x0,0x0,BernGenericMinimug,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
