INLINE NewClassTable,,Description,ID,Default Class Promoted From/To,Standing Map Anims,Move Speed,Generic Mug,N/A,HP,Atk,Skl,Spd,Def,Res,Con,Mov,HP Cap,Atk Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Class Relative Power,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,HP Promo Gain,Atk Promo Gain,Skl Promo Gain,Spd Promo Gain,Def Promo Gain,Res Promo Gain,CharClassAbility,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Battle Anims,Move Costs,Rain Move Costs,Snow Move Costs,Avo Bonus,Def Bonus,Res Bonus,Class Type
BishopF,Bishop_Name,Bishop_Description,0x2c,Cleric,BishopF_SMS,0x0,Bishop_ClassCard,0x0,19,4,5,4,2,9,5,6,60,25,25,26,21,30,20,3,45,35,25,22,8,50,40,3,1,2,1,2,2,IsPromoted,NoRank,NoRank,NoRank,NoRank,CRank,NoRank,DRank,NoRank,BishopF_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Shaman,Shaman_Name,Shaman_Description,0x2d,Druid,Shaman_SMS,0x1,Shaman_ClassCard,0x0,16,2,1,2,2,4,7,5,60,20,20,20,20,20,20,3,50,50,32,30,10,30,20,1,2,0,1,1,2,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,Shaman_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
ShamanF,Shaman_Name,Shaman_Description,0x2e,DruidF,ShamanF_SMS,0x1,Shaman_ClassCard,0x0,15,3,1,1,1,5,3,5,60,20,20,20,20,20,20,3,50,45,32,30,10,40,20,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,ShamanF_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Druid,Druid_Name,Druid_Description,0x2f,Shaman,Druid_SMS,0x1,Druid_ClassCard,0x0,19,6,3,4,4,6,8,6,60,29,26,26,21,28,20,3,45,55,30,25,10,35,20,4,0,0,3,2,2,IsPromoted,NoRank,NoRank,NoRank,NoRank,ERank,DRank,NoRank,CRank,Druid_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
DruidF,Druid_Name,Druid_Description,0x30,ShamanF,DruidF_SMS,0x1,Druid_ClassCard,0x0,17,7,3,4,3,7,4,6,60,29,26,26,20,29,20,3,45,55,30,25,10,35,20,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,ERank,DRank,NoRank,CRank,DruidF_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Summoner,Summoner_Name,Summoner_Description,0x31,Shaman,Summoner_SMS,0x0,Druid_ClassCard,0x0,18,5,3,4,3,5,8,6,60,27,27,26,20,28,20,3,45,50,30,25,8,35,20,3,0,1,3,1,3,Summoning|IsPromoted,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,Summoner_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
SummonerF,Summoner_Name,Summoner_Description,0x32,ShamanF,Summoner_SMS,0x0,Druid_ClassCard,0x0,18,5,3,4,3,5,4,6,60,27,27,26,20,28,20,3,45,50,30,25,8,35,20,0,0,0,0,0,0,Summoning|IsPromoted,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,SummonerF_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Rogue,Rogue_Name,Rogue_Description,0x33,Thief,Rogue_SMS,0x0,Rogue_ClassCard,0x0,16,3,1,9,2,0,7,6,60,20,30,30,20,20,20,3,50,10,45,35,5,20,40,2,1,1,0,2,2,IsPromoted|CanUseLockpick|Steal,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Rogue_Anims|IsPointer,ThiefMovementCost|IsPointer,RainThiefMovementCost|IsPointer,SnowThiefMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,SwordType
GorgonEgg1,GorgonEgg_Name,GorgonEgg_Description,0x34,0x0,GorgonEgg_SMS,0x0,GorgonEgg_ClassCard,0x0,50,0,0,0,10,10,6,0,60,30,30,30,30,30,30,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,0x0,0x0,0x0,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
GreatKnight,GreatKnight_Name,GreatKnight_Description,0x35,Knight,GreatKnight_SMS,0x1,GreatKnight_ClassCard,0x0,21,8,4,6,11,3,13,6,60,28,24,24,29,25,25,3,70,30,20,15,21,20,20,3,2,1,2,2,1,HorseIcon|IsPromoted|MountedAid|HasCanto,ERank,DRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,GreatKnight_Anims|IsPointer,PromotedCavalryMovementCost|IsPointer,RainPromotedCavalryMovementCost|IsPointer,SnowPromotedCavalryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,HorseType
GreatKnightF,GreatKnight_Name,GreatKnight_Description,0x36,KnightF,GreatKnight_SMS,0x1,GreatKnight_ClassCard,0x0,20,6,6,7,9,3,10,6,60,26,26,25,28,26,25,3,70,30,25,20,21,22,20,3,1,1,2,2,2,HorseIcon|IsPromoted|MountedAid|HasCanto,ERank,DRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,GreatKnightF_Anims|IsPointer,PromotedCavalryMovementCost|IsPointer,RainPromotedCavalryMovementCost|IsPointer,SnowPromotedCavalryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,HorseType
Recruit2,Recruit_Name,Recruit_Description,0x37,Recruit3,Recruit_SMS,0x0,Recruit_ClassCard,0x0,18,5,3,3,6,0,6,5,60,20,20,20,20,20,20,3,75,45,40,40,25,35,40,2,1,1,1,2,1,0x0,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Recruit2_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Journeyman3,Journeyman_Name,Journeyman_Description,0x38,Journeyman2,Journeyman_SMS,0x0,Fighter_ClassCard,0x0,28,8,5,6,5,0,8,6,60,26,29,28,23,23,20,3,85,55,40,32,18,20,40,4,1,2,2,2,2,CritBoost|IsPromoted,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,Journeyman3_Anims|IsPointer,AxesMovementCost|IsPointer,RainAxesMovementCost|IsPointer,SnowAxesMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Pupil3,Pupil_Name,Pupil_Description,0x39,Pupil2,Pupil_SMS,0x0,Mage_ClassCard,0x0,20,5,4,4,5,5,5,6,60,29,28,27,21,26,20,3,55,55,40,35,10,30,40,4,2,0,1,3,3,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,CRank,ERank,DRank,Pupil3_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Recruit3,Recruit_Name,Recruit_Description,0x3a,Recruit2,Recruit_SMS,0x0,Recruit_ClassCard,0x0,23,6,6,11,7,6,6,6,60,23,30,29,22,26,20,3,75,45,40,40,25,35,40,2,2,1,1,2,1,IsPromoted|CritBoost,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Recruit3_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Manakete2,Manakete_Name,Manakete_Description,0x3b,WyvernRider,Manakete2_SMS,0x0,Manakete2_ClassCard,0x0,20,0,0,2,1,1,25,3,60,20,20,20,20,20,25,3,95,40,30,20,0,10,25,0,0,0,0,0,0,UseMonsterWeapons|IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Manakete2_Anims|IsPointer,FlierMovementCost|IsPointer,RainFlierMovementCost|IsPointer,SnowFlierMovementCost|IsPointer,TerrainAvoFlier|IsPointer,TerrainDefFlier|IsPointer,TerrainResFlier|IsPointer,DragonType
ManaketeF,Manakete_Name,Manakete_Description,0x3c,WyvernRiderF,ManaketeF_SMS,0x0,Manakete1_ClassCard,0x0,12,0,0,2,2,2,5,6,60,20,20,20,20,20,20,2,95,40,30,20,0,10,25,0,0,0,0,0,0,UseMonsterWeapons,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,ManaketeF_Anims|IsPointer,FlierMovementCost|IsPointer,RainFlierMovementCost|IsPointer,SnowFlierMovementCost|IsPointer,TerrainAvoFlier|IsPointer,TerrainDefFlier|IsPointer,TerrainResFlier|IsPointer,DragonType
Journeyman1,Journeyman_Name,Journeyman_Description,0x3d,0x0,Journeyman_SMS,0x0,Fighter_ClassCard,0x0,14,3,0,1,1,0,8,4,60,20,20,20,20,20,20,1,85,55,40,32,18,20,40,0,0,0,0,0,0,TraineeLevelCap,NoRank,NoRank,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,Journeyman1_Anims|IsPointer,AxesMovementCost|IsPointer,RainAxesMovementCost|IsPointer,SnowAxesMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Pupil1,Pupil_Name,Pupil_Description,0x3e,0x0,Pupil_SMS,0x0,Mage_ClassCard,0x0,13,1,0,1,0,3,5,4,60,20,20,20,20,20,20,1,55,55,40,35,10,30,40,0,0,0,0,0,0,TraineeLevelCap,NoRank,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,Pupil1_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Fighter,Fighter_Name,Fighter_Description,0x3f,Warrior,Fighter_SMS,0x0,Fighter_ClassCard,0x0,20,5,2,4,2,0,11,5,60,20,20,20,20,20,20,3,85,55,35,30,15,15,15,2,2,1,0,0,1,0x0,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,Fighter_Anims|IsPointer,AxesMovementCost|IsPointer,RainAxesMovementCost|IsPointer,SnowAxesMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Warrior,Warrior_Name,Warrior_Description,0x40,Fighter,Warrior_SMS,0x0,Warrior_ClassCard,0x0,28,8,5,6,5,0,13,6,60,30,28,26,26,22,25,3,80,45,25,20,16,17,15,3,1,2,0,3,3,IsPromoted,NoRank,NoRank,CRank,ERank,NoRank,NoRank,NoRank,NoRank,Warrior_Anims|IsPointer,AxesMovementCost|IsPointer,RainAxesMovementCost|IsPointer,SnowAxesMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Brigand,Brigand_Name,Brigand_Description,0x41,Berserker,Brigand_SMS,0x0,Brigand_ClassCard,0x0,20,5,1,5,3,0,12,5,60,20,20,20,20,20,20,3,82,50,30,20,10,13,15,2,1,1,0,1,1,0x0,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,Brigand_Anims|IsPointer,BrigandBaelMovementCost|IsPointer,RainBrigandBaelMovementCost|IsPointer,SnowBrigandBaelMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Pirate,Pirate_Name,Pirate_Description,0x42,Berserker,Pirate_SMS,0x0,Pirate_ClassCard,0x0,19,4,2,6,3,0,10,5,60,20,20,20,20,20,20,3,75,50,35,25,10,13,15,2,2,0,1,1,0,0x0,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,Pirate_Anims|IsPointer,PirateFleetMovementCost|IsPointer,RainPirateFleetMovementCost|IsPointer,SnowPirateFleetMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Berserker,Berserker_Name,Berserker_Description,0x43,Pirate,Berserker_SMS,0x0,Berserker_ClassCard,0x0,24,7,6,7,6,0,13,6,60,30,29,28,23,21,25,3,75,50,35,25,10,13,15,4,1,1,1,2,2,IsPromoted|CritBoost,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,Berserker_Anims|IsPointer,BerserkerMovementCost|IsPointer,RainBerserkerMovementCost|IsPointer,SnowBerserkerMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Monk,Monk_Name,Monk_Description,0x44,0x0,Monk_SMS,0x0,MonkClericPriest_ClassCard,0x0,18,1,1,2,1,5,6,5,60,20,20,20,20,20,20,3,50,30,35,32,8,40,45,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,Monk_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Priest,Priest_Name,Priest_Description,0x45,Sage,Priest_SMS,0x0,MonkClericPriest_ClassCard,0x0,18,1,1,2,1,5,5,5,60,20,20,20,20,20,20,2,50,30,35,32,8,50,45,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,Priest_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Bard,Bard_Name,Bard_Description,0x46,0x0,Bard_SMS,0x0,Brigand_ClassCard,0x0,14,1,2,7,1,0,6,5,60,10,10,30,24,26,20,2,45,45,30,60,0,13,70,0,0,0,0,0,0,CanPlay,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Bard_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Recruit1,Recruit_Name,Recruit_Description,0x47,0x0,Recruit_SMS,0x0,Recruit_ClassCard,0x0,13,3,0,1,0,1,6,4,60,20,20,20,20,20,20,1,75,45,40,40,25,35,40,0,0,0,0,0,0,TraineeLevelCap,NoRank,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Recruit1_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
PegasusKnight,PegasusKnight_Name,PegasusKnight_Description,0x48,Falcoknight,PegasusKnight_SMS,0x0,PegasusKnight_ClassCard,0x0,14,4,5,5,3,2,5,7,60,20,20,20,20,20,25,3,65,35,40,40,12,35,35,0,0,0,0,0,0,MountedAid|HasCanto|PegIcon,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,PegasusKnight_Anims|IsPointer,FlierMovementCost|IsPointer,RainFlierMovementCost|IsPointer,SnowFlierMovementCost|IsPointer,TerrainAvoFlier|IsPointer,TerrainDefFlier|IsPointer,TerrainResFlier|IsPointer,FlierType
Falcoknight,Falcoknight_Name,Falcoknight_Description,0x49,PegasusKnight,Falcoknight_SMS,0x0,Falcoknight_ClassCard,0x0,20,6,7,7,5,4,6,8,60,23,25,28,23,26,25,3,60,30,30,30,12,30,30,5,2,0,2,2,2,MountedAid|HasCanto|PegIcon|IsPromoted,ERank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Falcoknight_Anims|IsPointer,FlierMovementCost|IsPointer,RainFlierMovementCost|IsPointer,SnowFlierMovementCost|IsPointer,TerrainAvoFlier|IsPointer,TerrainDefFlier|IsPointer,TerrainResFlier|IsPointer,FlierType
Cleric,Cleric_Name,Cleric_Description,0x4a,BishopF,Cleric_SMS,0x0,MonkClericPriest_ClassCard,0x0,16,1,2,2,0,6,4,5,60,20,20,20,20,20,20,2,50,30,35,32,8,50,45,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,Cleric_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Troubadour,Troubadour_Name,Troubadour_Description,0x4b,Valkyrie,Troubadour_SMS,0x0,Troubadour_ClassCard,0x0,15,1,1,3,2,5,5,6,60,20,20,20,20,20,25,2,50,25,35,55,12,40,45,0,0,0,0,0,0,MountedAid|HasCanto|HorseIcon,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,Troubadour_Anims|IsPointer,CavalryMovementCost|IsPointer,RainCavalryMovementCost|IsPointer,SnowCavalryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,HorseType
Valkyrie,Valkyrie_Name,Valkyrie_Description,0x4c,Troubadour,Valkyrie_SMS,0x0,Valkyrie_ClassCard,0x0,19,4,3,5,4,8,6,7,60,25,24,25,24,28,25,3,45,35,25,45,10,40,40,3,2,1,0,2,3,MountedAid|HasCanto|HorseIcon|IsPromoted,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,DRank,NoRank,Valkyrie_Anims|IsPointer,PromotedCavalryMovementCost|IsPointer,RainPromotedCavalryMovementCost|IsPointer,SnowPromotedCavalryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,HorseType
Dancer,Dancer_Name,Dancer_Description,0x4d,0x0,Dancer_SMS,0x0,Brigand_ClassCard,0x0,14,1,2,7,0,1,4,5,60,10,10,30,24,26,20,2,45,45,30,60,0,13,70,0,0,0,0,0,0,CanDance,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Dancer_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Soldier,Soldier_Name,Soldier_Description,0x4e,0x0,Soldier_SMS,0x0,Recruit_ClassCard,0x0,20,3,0,1,0,0,6,5,60,20,20,20,20,20,20,2,80,50,30,20,12,15,25,0,0,0,0,0,0,0x0,NoRank,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Soldier_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Necromancer,Necromancer_Name,Necromancer_Description,0x4f,Shaman,Necromancer_SMS,0x0,Druid_ClassCard,0x0,18,9,4,5,3,8,7,6,80,30,25,25,30,30,25,3,45,55,30,25,10,35,20,0,0,0,0,0,0,IsPromoted|Summoning,NoRank,NoRank,NoRank,NoRank,SRank,NoRank,NoRank,SRank,Necromancer_Anims|IsPointer,MageMovementCost|IsPointer,RainMageMovementCost|IsPointer,SnowMageMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Fleet,Fleet_Name,Fleet_Description,0x50,0x0,Fleet_SMS,0x0,Fleet_ClassCard,0x0,19,1,1,2,5,0,25,3,60,20,20,20,30,20,25,3,75,35,40,32,15,15,15,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,0x0,PirateFleetMovementCost|IsPointer,RainPirateFleetMovementCost|IsPointer,SnowPirateFleetMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,0x0
Phantom,Phantom_Name,Phantom_Description,0x51,0x0,Phantom_SMS,0x0,Phantom_ClassCard,0x0,1,5,2,4,0,0,11,5,1,20,20,20,0,0,20,3,0,55,35,45,15,15,50,0,0,0,0,0,0,0x0,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,FlierMovementCost|IsPointer,RainFlierMovementCost|IsPointer,SnowFlierMovementCost|IsPointer,TerrainAvoFlier|IsPointer,TerrainDefFlier|IsPointer,TerrainResFlier|IsPointer,0x0
Revenant,Revenant_Name,Revenant_Description,0x52,Entombed,Revenant_SMS,0x0,Revenant_ClassCard,0x0,25,2,0,0,0,0,6,4,60,20,20,20,20,20,20,3,95,50,30,20,10,13,10,0,0,0,0,0,0,UseMonsterWeapons,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Revenant_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
Entombed,Entombed_Name,Entombed_Description,0x53,Revenant,Entombed_SMS,0x0,Entombed_ClassCard,0x0,35,3,0,1,0,0,6,5,80,25,22,21,24,22,25,1,85,40,25,17,10,13,50,0,0,0,0,0,0,UseMonsterWeapons|IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Entombed_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
Bonewalker,Bonewalker_Name,Bonewalker_Description,0x54,Wight,Bonewalker_SMS,0x0,Bonewalker_ClassCard,0x0,20,4,2,3,3,0,7,5,60,20,20,20,20,20,20,3,80,50,30,20,12,15,10,0,0,0,0,0,0,SwordmasterUnlock,CRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Bonewalker_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
BonewalkerBow,Bonewalker_Name,Bonewalker_Description,0x55,WightBow,BonewalkerBow_SMS,0x0,Bonewalker_ClassCard,0x0,18,4,3,2,3,0,6,5,60,20,20,20,20,20,20,3,70,35,40,32,15,15,10,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,BonewalkerBow_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
Wight,Wight_Name,Wight_Description,0x56,Bonewalker,Wight_SMS,0x0,Wight_ClassCard,0x0,21,7,5,6,5,2,9,6,60,24,28,26,22,23,25,3,65,25,25,20,15,22,10,0,0,0,0,0,0,SwordmasterUnlock|IsPromoted,ARank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Wight_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
WightBow,Wight_Name,Wight_Description,0x57,BonewalkerBow,WightBow_SMS,0x0,Wight_ClassCard,0x0,21,6,6,5,5,2,8,6,60,25,30,28,25,23,20,3,65,30,30,20,15,20,10,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,WightBow_Anims|IsPointer,BasicInfantryMovementCost|IsPointer,RainBasicInfantryMovementCost|IsPointer,SnowBasicInfantryMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
Bael,Bael_Name,Bael_Description,0x58,ElderBael,Bael_SMS,0x0,Bael_ClassCard,0x0,25,6,3,3,6,1,12,5,60,30,28,26,26,22,25,3,82,50,30,20,18,13,15,0,0,0,0,0,0,UseMonsterWeapons,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Bael_Anims|IsPointer,BrigandBaelMovementCost|IsPointer,RainBrigandBaelMovementCost|IsPointer,SnowBrigandBaelMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
ElderBael,ElderBael_Name,ElderBael_Description,0x59,Bael,ElderBael_SMS,0x0,ElderBael_ClassCard,0x0,36,8,5,5,9,4,15,6,80,30,28,26,26,22,25,3,85,45,25,20,21,17,10,0,0,0,0,0,0,UseMonsterWeapons|IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,ElderBael1_Anims|IsPointer,BrigandBaelMovementCost|IsPointer,RainBrigandBaelMovementCost|IsPointer,SnowBrigandBaelMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
Cyclops1,Cyclops_Name,Cyclops_Description,0x5a,Knight,Cyclops_SMS,0x0,Cyclops_ClassCard,0x0,40,8,5,6,13,0,16,5,80,29,29,28,30,25,25,3,95,30,35,25,24,25,10,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,Cyclops1_Anims|IsPointer,AxesMovementCost|IsPointer,RainAxesMovementCost|IsPointer,SnowAxesMovementCost|IsPointer,TerrainAvoNormal|IsPointer,TerrainDefNormal|IsPointer,TerrainResNormal|IsPointer,MonsterType
