0x809B10,Name,Description,Use Desc,ID,Type,ItemAbility,Stat Boosts,Effectiveness,Uses,Mt,Hit,Wt,Crit,Range,Price Per Use,Weapon Level,Icon,Use Effect,Weapon Effect,Weapon EXP,Debuff Type,IER Byte,Item Skill
Antitoxin,Antitoxin_Name,Antitoxin_Description,Antitoxin_UseScreen,0x6f,ItemItem,0x0,0x0,0x0,3,0,0,0,0,0x11,150,NoRank,Antitoxin_ItemIcon,Antitoxin_UseEffect,NoEffect,0,0x0,0x0,0x0
Torch,Torch_Name,Torch_Description,Torch_UseScreen,0x70,ItemItem,0x0,0x0,0x0,5,0,0,0,0,0x11,100,NoRank,Torch_ItemIcon,Torch_UseEffect,NoEffect,0,0x0,0x0,0x0
DelphiShield,DelphiShield_Name,DelphiShield_Description,DelphiShield_UseScreen,0x71,ItemItem,Indestructible|NegateFlyingEffectiveness,0x0,0x0,0,0,0,0,0,0x11,10000,NoRank,DelphiShield_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
MemberCard,MemberCard_Name,MemberCard_Description,MemberCard_UseScreen,0x72,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,6000,NoRank,MemberCard_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
SilverCard,SilverCard_Name,SilverCard_Description,SilverCard_UseScreen,0x73,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,4000,NoRank,SilverCard_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
WhiteGem,WhiteGem_Name,WhiteGem_Description,0x0,0x74,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,20000,NoRank,WhiteGem_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
BlueGem,BlueGem_Name,BlueGem_Description,0x0,0x75,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,BlueGem_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
RedGem,RedGem_Name,RedGem_Description,0x0,0x76,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,5000,NoRank,RedGem_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
ItemGold,ItemGold_Name,ItemGold_Description,ItemGold_UseScreen,0x77,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,ItemGold_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_Reginleif,Reginleif_Name,Reginleif_Description,0x0,0x78,ItemLance,IsWeapon|Unsellable|EphraimLock,0x0,LordWeaponEffectiveness|IsPointer,45,10,80,8,10,0x11,160,NoRank,Reginleif_ItemIcon,0x0,NoEffect,2,0x0,0x0,0x0
ChestKey5Uses,ChestKey_Name,ChestKey_Description,ChestKey_UseScreen,0x79,ItemItem,0x0,0x0,0x0,5,0,0,0,0,0x11,300,NoRank,ChestKey_ItemIcon,ChestKey5Uses_UseEffect,NoEffect,0,0x0,0x0,0x0
FE8_MineDUMMY,Dummy_Name,Dummy_Description,0x0,0x7a,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,500,NoRank,Mine_ItemIcon,Mine_UseEffect,NoEffect,0,0x0,0x0,0x0
FE8_LightRuneDUMMY,Dummy_Name,Dummy_Description,0x0,0x7b,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,800,NoRank,LightRune_ItemIcon,LightRune_UseEffect,NoEffect,0,0x0,0x0,0x0
FE8_HoplonGuard,HoplonGuard_Name,HoplonGuard_Description,HoplonGuard_UseScreen,0x7c,ItemItem,Indestructible|NegateCriticals,0x0,0x0,0,0,0,0,0,0x11,5000,NoRank,HoplonGuard_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_FillasMightDUMMY,Dummy_Name,Dummy_Description,0x0,0x7d,ItemRing,CannotRepair,0x0,0x0,15,0,0,0,0,0x11,0,NoRank,FilasMight_ItemIcon,FillasMight_UseEffect,NoEffect,0,0x0,"ItemStatus(AtkRingStatusID,1)",0x0
FE8_NinissGraceDUMMY,Dummy_Name,Dummy_Description,0x0,0x7e,ItemRing,CannotRepair,0x0,0x0,15,0,0,0,0,0x11,0,NoRank,NinissGrace_ItemIcon,NinissGrace_UseEffect,NoEffect,0,0x0,"ItemStatus(DefRingStatusID,1)",0x0
FE8_ThorsIreDUMMY,Dummy_Name,Dummy_Description,0x0,0x7f,ItemRing,CannotRepair,0x0,0x0,15,0,0,0,0,0x11,0,NoRank,ThorsIre_ItemIcon,ThorsIre_UseEffect,NoEffect,0,0x0,"ItemStatus(CritRingStatusID,1)",0x0
FE8_SetsLitanyDUMMY,Dummy_Name,Dummy_Description,0x0,0x80,ItemRing,CannotRepair,0x0,0x0,15,0,0,0,0,0x11,0,NoRank,SetsLitany_ItemIcon,SetsLitany_UseEffect,NoEffect,0,0x0,"ItemStatus(AvoRingStatusID,1)",0x0
FE8_Shadowkiller,Shadowkiller_Name,Shadowkiller_Description,0x0,0x81,ItemSword,IsWeapon,0x0,MonsterEffectiveness|IsPointer,60,5,90,5,5,0x11,0,ERank,Shadowkiller_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_BrightLance,BrightLance_Name,BrightLance_Description,0x0,0x82,ItemLance,IsWeapon,0x0,MonsterEffectiveness|IsPointer,60,7,80,8,5,0x11,0,ERank,BrightLance_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_Fiendcleaver,Fiendcleaver_Name,Fiendcleaver_Description,0x0,0x83,ItemAxe,IsWeapon,0x0,MonsterEffectiveness|IsPointer,60,8,75,10,5,0x11,0,ERank,Fiendcleaver_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_BeaconBow,BeaconBow_Name,BeaconBow_Description,0x0,0x84,ItemBow,IsWeapon,0x0,FlierAndMonster1|IsPointer,60,6,85,5,5,0x22,0,ERank,BeaconBow_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_Sieglinde,Sieglinde_Name,Sieglinde_Description,0x0,0x85,ItemSword,IsWeapon|Unsellable|EirikaLock,PlusFivePOWBoost1|IsPointer,SacredWeaponEffectiveness|IsPointer,30,16,90,9,0,0x11,0,NoRank,Sieglinde_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_BattleAxe,BattleAxe_Name,BattleAxe_Description,0x0,0x86,ItemAxe,IsWeapon,0x0,0x0,20,13,60,15,5,0x11,50,BRank,BattleAxe_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Aureola,Aureola_Name,Aureola_Description,0x0,0x87,ItemLight,IsWeapon|IsMagic|Unsellable,PlusFiveRESBoost|IsPointer,DragonEffectiveness|IsPointer,20,15,90,9,5,0x12,0,SRank,Aureola_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_MasterSeal,MasterSeal_Name,MasterSeal_Description,MasterSeal_UseScreen,0x88,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,20000,NoRank,MasterSeal_ItemIcon,MasterSeal_UseEffect,NoEffect,0,0x0,0x0,0x0
FE8_MetissTome,MetissTome_Name,MetissTome_Description,MetissTome_UseScreen,0x89,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,MetissTome_ItemIcon,MetissTome_UseEffect,NoEffect,0,0x0,0x0,0x0
FE8_HeavenSealDUMMY,Dummy_Name,Dummy_Description,0x0,0x8a,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,20000,NoRank,HeavenSeal_ItemIcon,HeavenSeal_UseEffect,NoEffect,0,0x0,0x0,0x0
FE8_SharpClaw,SharpClaw_Name,SharpClaw_Description,0x0,0x8b,ItemMonster,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,14,65,14,0,0x11,0,NoRank,SharpClaw_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
SaintsStaff,SaintsStaff_Name,SaintsStaff_Description,SaintsStaff_UseScreen,0x8c,ItemStaff,IsStaff|Unsellable,0x0,0x0,3,0,100,5,0,0xff,0,SRank,SaintsStaff_ItemIcon,Latona_UseEffect,NoEffect,1,0x0,0x0,0x0
FE8_Dragonspear,Dragonspear_Name,Dragonspear_Description,0x0,0x8d,ItemLance,IsWeapon,0x0,DragonEffectiveness|IsPointer,30,10,70,8,0,0x11,150,CRank,Dragonspear_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Maltet,Maltet_Name,Maltet_Description,0x0,0x8e,ItemLance,IsWeapon|Unsellable,PlusFiveSKLBoost|IsPointer,DragonEffectiveness|IsPointer,20,16,80,11,0,0x11,0,SRank,Maltet_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_Naglfar,Naglfar_Name,Naglfar_Description,0x0,0x8f,ItemDark,IsWeapon|IsMagic|Indestructible,0x0,0x0,0,25,95,18,0,0x12,0,SRank,Naglfar_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_WretchedAir,WretchedAir_Name,WretchedAir_Description,WretchedAir_UseScreen,0x90,ItemMonster,IsWeapon|Indestructible|MonsterWeapon|NegateDef,WretchedAirBoost|IsPointer,0x0,0,10,100,0,0,0x12,0,ARank,WretchedAir_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
Durandal,Durandal_Name,Durandal_Description,0x0,0x91,ItemSword,IsWeapon|Unsellable,PlusFivePOWBoost1|IsPointer,DragonEffectiveness|IsPointer,20,17,90,12,0,0x11,0,SRank,Durandal_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_Siegmund,Siegmund_Name,Siegmund_Description,0x0,0x92,ItemLance,IsWeapon|Unsellable|EphraimLock,PlusFivePOWBoost2|IsPointer,SacredWeaponEffectiveness|IsPointer,30,17,80,11,0,0x11,0,NoRank,Siegmund_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Armads,Armads_Name,Armads_Description,0x0,0x93,ItemAxe,IsWeapon|Unsellable,PlusFiveDEFBoost1|IsPointer,DragonEffectiveness|IsPointer,20,18,75,13,0,0x11,0,SRank,Armads_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Mulagir,Mulagir_Name,Mulagir_Description,0x0,0x94,ItemBow,IsWeapon|Unsellable,PlusFiveSPDBoost1|IsPointer,FlierAndMonster2|IsPointer,20,16,80,9,0,0x22,0,SRank,Mulagir_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_HeavySpear,HeavySpear_Name,HeavySpear_Description,0x0,0x95,ItemLance,IsWeapon,0x0,ArmorEffectiveness|IsPointer,16,9,70,14,0,0x11,75,DRank,HeavySpear_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_ShortSpear,ShortSpear_Name,ShortSpear_Description,0x0,0x96,ItemLance,IsWeapon,0x0,0x0,18,9,60,12,0,0x12,50,CRank,ShortSpear_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_OceanSeal,OceanSeal_Name,OceanSeal_Description,OceanSeal_UseScreen,0x97,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,OceanSeal_ItemIcon,OceanSeal_UseEffect,NoEffect,0,0x0,0x0,0x0
FE8_LunarBrace,LunarBrace_Name,LunarBrace_Description,LunarBrace_UseScreen,0x98,ItemItem,Unsellable,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,LunarBrace_ItemIcon,LunarBrace_UseEffect,NoEffect,0,0x0,0x0,0x0
FE8_SolarBrace,SolarBrace_Name,SolarBrace_Description,SolarBrace_UseScreen,0x99,ItemItem,Unsellable,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,SolarBrace_ItemIcon,SolarBrace_UseEffect,NoEffect,0,0x0,0x0,0x0
FE8_Item1G,Item1G_Name,ItemGold_Description,ItemGold_UseScreen,0x9a,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,1,NoRank,ItemGold_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_Item5G,Item5G_Name,ItemGold_Description,ItemGold_UseScreen,0x9b,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,5,NoRank,ItemGold_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_Item10G,Item10G_Name,ItemGold_Description,ItemGold_UseScreen,0x9c,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,10,NoRank,ItemGold_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_Item50G,Item50G_Name,ItemGold_Description,ItemGold_UseScreen,0x9d,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,50,NoRank,ItemGold_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_Item100G,Item100G_Name,ItemGold_Description,ItemGold_UseScreen,0x9e,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,100,NoRank,ItemGold_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_Item3000G,Item3000G_Name,ItemGold_Description,ItemGold_UseScreen,0x9f,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,3000,NoRank,ItemGold_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_Item5000G,Item5000G_Name,ItemGold_Description,ItemGold_UseScreen,0xa0,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,5000,NoRank,ItemGold_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_WindSword,WindSword_Name,WindSword_Description,0x0,0xa1,ItemSword,IsWeapon|MagicDamage,0x0,FlierEffectiveness|IsPointer,40,9,70,9,0,0x12,200,BRank,WindSword_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_Vulnerary60Uses,Vulnerary_Name,Vulnerary_Description,Vulnerary_UseScreen,0xa2,ItemItem,0x0,0x0,0x0,60,0,0,0,0,0x11,100,NoRank,Vulnerary_ItemIcon,Vulnerary60Uses_UseEffect,NoEffect,0,0x0,0x0,0x0
FE8_VulneraryGreenNote,Vulnerary_Name,Vulnerary_Description,Vulnerary_UseScreen,0xa3,ItemItem,0x0,0x0,0x0,60,0,0,0,0,0x11,100,NoRank,GreenNote_ItemIcon,VulneraryGreenNote_UseEffect,NoEffect,0,0x0,0x0,0x0
FE8_VulneraryRedNote,Vulnerary_Name,Vulnerary_Description,Vulnerary_UseScreen,0xa4,ItemItem,0x0,0x0,0x0,60,0,0,0,0,0x11,100,NoRank,RedNote_ItemIcon,VulneraryRedNote_UseEffect,NoEffect,0,0x0,0x0,0x0
FE8_Dance,Dance_Name,Dance_Description,Dance_UseScreen,0xa5,ItemRing,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,IronSword_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_Nightmare,Nightmare_Name,Nightmare_Description,0x0,0xa6,ItemStaff,IsStaff,NightmareBoost|IsPointer,0x0,1,0,70,8,0,0x13,0,NoRank,Nightmare_ItemIcon,0x0,NoEffect,0,0x0,"ItemStatus(SleepStatusID,5)",0x0
FE8_StoneShardDUMMY,StoneShard_Name,StoneShard_Description,StoneShard_UseScreen,0xa7,ItemMonster,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,10,65,0,0,0x11,0,NoRank,RedGem_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_DemonLight,DemonLight_Name,DemonLight_Description,0x0,0xa8,ItemMonster,IsWeapon|Indestructible|MonsterWeapon,DemonLightBoost|IsPointer,0x0,0,15,60,0,0,0x13,0,NoRank,DemonLight_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_Ravager,Ravager_Name,Ravager_Description,0x0,0xa9,ItemMonster,IsWeapon|Indestructible|MonsterWeapon,RavagerBoost|IsPointer,0x0,0,15,85,0,10,0x11,0,NoRank,Ravager_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_Dragonstone,Dragonstone_Name,Dragonstone_Description,Dragonstone_UseScreen,0xaa,ItemMonster,IsWeapon|Unsellable|MonsterWeapon,DragonstoneBoost|IsPointer,MonsterEffectiveness|IsPointer,50,16,100,0,15,0x11,0,NoRank,Dragonstone_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_DemonSurge,DemonSurge_Name,DemonSurge_Description,0x0,0xab,ItemDark,IsWeapon|IsMagic|Indestructible,0x0,0x0,0,11,80,10,0,0x12,0,NoRank,DemonSurge_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_Shadowshot,Shadowshot_Name,Shadowshot_Description,0x0,0xac,ItemDark,IsWeapon|IsMagic|Uncounterable,0x0,0x0,5,13,70,20,5,0x3a,0,NoRank,Shadowshot_ItemIcon,0x0,CannotDoubleEffect,0,0x0,0x0,0x0
FE8_RottenClaw,RottenClaw_Name,RottenClaw_Description,0x0,0xad,ItemMonster,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,7,80,8,0,0x11,0,NoRank,RottenClaw_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_FetidClaw,FetidClaw_Name,FetidClaw_Description,0x0,0xae,ItemMonster,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,12,75,10,0,0x11,0,NoRank,FetidClaw_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_PoisonClaw,PoisonClaw_Name,PoisonClaw_Description,0x0,0xaf,ItemMonster,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,6,65,10,0,0x11,0,NoRank,PoisonClaw_ItemIcon,0x0,PoisonEffect,0,0x0,0x0,0x0
FE8_LethalTalon,LethalTalon_Name,LethalTalon_Description,0x0,0xb0,ItemMonster,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,10,60,12,0,0x11,0,NoRank,LethalTalon_ItemIcon,0x0,PoisonEffect,0,0x0,0x0,0x0
FE8_FieryFang,FieryFang_Name,FieryFang_Description,0x0,0xb1,ItemMonster,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,5,90,5,0,0x11,0,NoRank,FieryFang_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_Hellfang,Hellfang_Name,Hellfang_Description,0x0,0xb2,ItemMonster,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,13,80,8,0,0x11,0,NoRank,Hellfang_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_EvilEye,EvilEye_Name,EvilEye_Description,0x0,0xb3,ItemDark,IsWeapon|IsMagic|Indestructible,0x0,0x0,0,7,85,6,0,0x12,0,NoRank,EvilEye_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_CrimsonEye,CrimsonEye_Name,CrimsonEye_Description,0x0,0xb4,ItemDark,IsWeapon|IsMagic|Indestructible,0x0,0x0,0,14,70,13,5,0x12,0,NoRank,CrimsonEye_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_Stone,Stone_Name,Stone_Description,0x0,0xb5,ItemDark,IsWeapon|IsMagic,0x0,0x0,5,0,65,8,0,0x13,0,NoRank,Stone_ItemIcon,0x0,StoneEffect,5,0x0,0x0,0x0
Aircalibur,Aircalibur_Name,FlierEffective_Description,0x0,0xb6,ItemAnima,IsWeapon|IsMagic,0x0,FlierEffectiveness|IsPointer,20,8,85,2,0,0x12,55,BRank,Aircalibur_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
FE8_JunaFruit,JunaFruit_Name,JunaFruit_Description,JunaFruit_UseScreen,0xb7,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,JunaFruit_ItemIcon,JunaFruit_UseEffect,NoEffect,0,0x0,0x0,0x0
FE8_Item150G,Item150G_Name,ItemGold_Description,ItemGold_UseScreen,0xb8,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,150,NoRank,ItemGold_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_Item200G,Item200G_Name,ItemGold_Description,ItemGold_UseScreen,0xb9,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,200,NoRank,ItemGold_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_BlackGem,BlackGem_Name,BlackGem_Description,0x0,0xba,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,30000,NoRank,BlackGem_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
FE8_GoldGem,GoldGem_Name,GoldGem_Description,0x0,0xbb,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,40000,NoRank,GoldGem_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
SkillScroll,0xFFFF,0xFFFF,SkillScrollDesc,0xbc,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x0,0x0,NoEffect,0,0x0,0x0,0x0
,Dummy_Name,Dummy_Description,0x0,0xbd,ItemAxe,IsWeapon,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,IronSword_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
WoDao,WoDao_Name,KillingEdge_Description,0x0,0xbe,ItemSword,IsWeapon|SwordmasterLock,0x0,0x0,20,8,75,5,40,0x11,60,DRank,WoDao_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
BindingBlade,BindingBlade_Name,BindingBlade_Description,0x0,0xbf,ItemSword,IsWeapon|Unsellable|EirikaLock,NightmareBoost|IsPointer,BindingBladeDivinestoneEffectiveness|IsPointer,20,18,95,8,10,0x12,0,NoRank,BindingBlade_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
Eckesachs,Eckesachs_Name,Eckesachs_Description,0x0,0xc0,ItemSword,IsWeapon|Unsellable|Indestructible|EphraimLock,0x0,0x0,0,15,90,15,5,0x12,0,SRank,Eckesachs_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
AlsSword,AlsSword_Name,AlsSword_Description,0x0,0xc1,ItemSword,IsWeapon,0x0,0x0,50,7,75,7,0,0x11,20,DRank,AlsSword_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
GantsLance,GantsLance_Name,GantsLance_Description,0x0,0xc2,ItemLance,IsWeapon,0x0,0x0,50,9,65,10,0,0x11,16,DRank,GantsLance_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
TinasStaff,TinasStaff_Name,TinasStaff_Description,Mend_UseScreen,0xc3,ItemStaff,IsStaff,0x0,0x0,30,0,100,3,0,0x11,60,DRank,TinasStaff_ItemIcon,Mend_UseEffect,NoEffect,1,0x0,0x0,0x0
Firestone,Firestone_Name,Firestone_Description,Firestone_UseScreen,0xc4,ItemMonster,IsWeapon|Indestructible|MonsterWeapon,WretchedAirBoost|IsPointer,0x0,0,15,100,0,5,0x11,0,NoRank,Firestone_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
Divinestone,Divinestone_Name,Divinestone_Description,Divinestone_UseScreen,0xc5,ItemMonster,IsWeapon|MonsterWeapon,DragonstoneBoost|IsPointer,BindingBladeDivinestoneEffectiveness|IsPointer,30,16,100,0,15,0x11,0,NoRank,Divinestone_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
DarkBreath,DarkBreath_Name,DarkBreath_Description,0x0,0xc6,ItemMonster,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,20,100,0,10,0x11,0,NoRank,DarkBreath_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
,Dummy_Name,Dummy_Description,0x0,0xc7,ItemBow,IsWeapon,0x0,0x0,0,11,80,10,0,0x11,0,NoRank,IronSword_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
,Dummy_Name,Dummy_Description,0x0,0xc8,ItemLance,IsWeapon,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,IronSword_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
,Dummy_Name,Dummy_Description,0x0,0xc9,ItemLight,IsWeapon|IsMagic,0x0,0x0,0,11,80,10,0,0x12,0,NoRank,IronSword_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
,Dummy_Name,Dummy_Description,0x0,0xca,ItemDark,IsWeapon|IsMagic,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,IronSword_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
,Dummy_Name,Dummy_Description,0x0,0xcb,ItemDark,IsWeapon|IsMagic,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,IronSword_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
,Dummy_Name,Dummy_Description,0x0,0xcc,ItemItem,0x0,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,Scroll_ItemIcon,0x0,NoEffect,0,0x0,0x0,0x0
,Dummy_Name,Dummy_Description,0x0,0xcd,ItemRing,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,IronSword_ItemIcon,0x0,NoEffect,1,0x0,0x0,0x0
